Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-07,PIPO29,Ambient+HW,Drought,65-96,33-64,1-32,76,54,17,#4c3611,3716,1197341,0.3
2021-10-07,PIPO39,Ambient,Drought,1-32,33-64,1-32,29,55,15,#1d370f,2568,993086,0.3
2021-10-07,PIPO39,Ambient,Drought,97-128,65-96,65-96,108,91,73,#6c5b49,2687,993086,0.3
2021-10-07,PIPO44,Ambient,Drought,129-160,161-192,129-160,153,169,140,#99a98c,2896,1111401,0.3
2021-10-07,PIPO45,Ambient,Drought,193-224,193-224,161-192,205,207,175,#cdcfaf,3739,1154285,0.3
2021-10-07,PIPO49,Ambient,Drought,1-32,33-64,1-32,29,57,12,#1d390c,2201,852652,0.3
2021-10-07,PIPO49,Ambient,Drought,129-160,97-128,97-128,139,123,106,#8b7b6a,2657,852652,0.3
2021-10-07,PIPO49,Ambient,Drought,97-128,65-96,65-96,108,91,74,#6c5b4a,2551,852652,0.3
2021-10-07,PIPO10,Ambient+HW,Drought,129-160,161-192,65-96,138,167,89,#8aa759,2368,1394784,0.2
2021-10-07,PIPO10,Ambient+HW,Drought,129-160,97-128,97-128,138,123,106,#8a7b6a,2940,1394784,0.2
